input,R,G,B
7.031250000000000000e-01,7.708852111999999757e-01,7.443503669500000086e-01,6.844155303499999121e-01
7.070312500000000000e-01,7.748357035749999788e-01,7.482902767874999306e-01,6.882950254124999834e-01
7.109375000000000000e-01,7.787861959499998710e-01,7.522301866249999636e-01,6.921745204749999436e-01
7.148437500000000000e-01,7.827366883249999852e-01,7.561700964624999965e-01,6.960540155375000149e-01
7.187500000000000000e-01,7.866871806999999883e-01,7.601100063000000295e-01,6.999335105999999751e-01
7.226562500000000000e-01,7.904753032500000387e-01,7.638746467124999384e-01,7.036461811874999972e-01
7.265625000000000000e-01,7.942634257999999781e-01,7.676392871250000693e-01,7.073588517750000193e-01
7.304687500000000000e-01,7.980515483499999174e-01,7.714039275374999782e-01,7.110715223624999304e-01
7.343750000000000000e-01,8.018396708999999678e-01,7.751685679499999981e-01,7.147841929499999525e-01
7.382812500000000000e-01,8.056277934500000182e-01,7.789332083625000180e-01,7.184968635375000856e-01
7.421875000000000000e-01,8.094159159999999575e-01,7.826978487749999269e-01,7.222095341250001077e-01
7.460937500000000000e-01,8.132040385499998969e-01,7.864624891875000579e-01,7.259222047125000188e-01
7.500000000000000000e-01,8.169921610999999473e-01,7.902271295999999667e-01,7.296348753000000409e-01
7.539062500000000000e-01,8.208316885124998796e-01,7.940220626874998633e-01,7.333853404625000350e-01
7.578125000000000000e-01,8.246712159250000340e-01,7.978169957749999819e-01,7.371358056250001400e-01
7.617187500000000000e-01,8.285107433375000774e-01,8.016119288625001005e-01,7.408862707875000231e-01
7.656250000000000000e-01,8.323502707500000097e-01,8.054068619499999970e-01,7.446367359500000171e-01
7.695312500000000000e-01,8.361897981624998311e-01,8.092017950374998936e-01,7.483872011125000112e-01
7.734375000000000000e-01,8.400293255749999854e-01,8.129967281250000122e-01,7.521376662749998943e-01
7.773437500000000000e-01,8.438688529875000288e-01,8.167916612125001308e-01,7.558881314374999993e-01
7.812500000000000000e-01,8.477083803999999612e-01,8.205865943000000273e-01,7.596385965999999934e-01
7.851562500000000000e-01,8.517197524000000852e-01,8.245299787625000043e-01,7.635440612124999582e-01
7.890625000000000000e-01,8.557311243999999872e-01,8.284733632250000923e-01,7.674495258250000340e-01
7.929687500000000000e-01,8.597424963999998893e-01,8.324167476875000693e-01,7.713549904374999988e-01
7.968750000000000000e-01,8.637538683999999023e-01,8.363601321499999353e-01,7.752604550499999636e-01
8.007812500000000000e-01,8.677652404000000264e-01,8.403035166124999122e-01,7.791659196625000394e-01
8.046875000000000000e-01,8.717766123999999284e-01,8.442469010750000002e-01,7.830713842750000042e-01
8.085937500000000000e-01,8.757879843999998304e-01,8.481902855374999772e-01,7.869768488875000800e-01
8.125000000000000000e-01,8.797993563999999544e-01,8.521336699999999542e-01,7.908823135000000448e-01
8.164062500000000000e-01,8.837709042624999345e-01,8.560760417499999608e-01,7.949105353625000037e-01
8.203125000000000000e-01,8.877424521250000256e-01,8.600184134999999674e-01,7.989387572250000735e-01
8.242187500000000000e-01,8.917139999874998946e-01,8.639607852499999741e-01,8.029669790875000324e-01
8.281250000000000000e-01,8.956855478499999856e-01,8.679031569999999807e-01,8.069952009500001022e-01
8.320312500000000000e-01,8.996570957125000767e-01,8.718455287499999873e-01,8.110234228125000611e-01
8.359375000000000000e-01,9.036286435749999457e-01,8.757879004999999939e-01,8.150516446750000199e-01
8.398437500000000000e-01,9.076001914375000368e-01,8.797302722500000005e-01,8.190798665375000898e-01
8.437500000000000000e-01,9.115717393000000168e-01,8.836726440000000071e-01,8.231080884000000486e-01
8.476562500000000000e-01,9.150572775000000991e-01,8.874868503999999714e-01,8.277738786625000733e-01
8.515625000000000000e-01,9.185428156999999594e-01,8.913010567999999356e-01,8.324396689249999870e-01
