input,R,G,B
4.375000000000000000e-01,4.182389421000000107e-01,4.182389421000000107e-01,4.182389421000000107e-01
4.414062500000000000e-01,4.226794396875000470e-01,4.226794396874999915e-01,4.226794396874999915e-01
4.453125000000000000e-01,4.271199372750000278e-01,4.271199372750000278e-01,4.271199372750000278e-01
4.492187500000000000e-01,4.315604348625000641e-01,4.315604348624999531e-01,4.315604348625000086e-01
4.531250000000000000e-01,4.360009324500000449e-01,4.360009324499999894e-01,4.360009324500000449e-01
4.570312500000000000e-01,4.404414300374999702e-01,4.404414300375000257e-01,4.404414300375000257e-01
4.609375000000000000e-01,4.448819276250000065e-01,4.448819276250000621e-01,4.448819276250000065e-01
4.648437500000000000e-01,4.493224252124999873e-01,4.493224252124999873e-01,4.493224252125000429e-01
4.687500000000000000e-01,4.537629228000000237e-01,4.537629228000000237e-01,4.537629228000000237e-01
4.726562500000000000e-01,4.581758724000000171e-01,4.581758724000000171e-01,4.581758723999999616e-01
4.765625000000000000e-01,4.625888220000000106e-01,4.625888220000000106e-01,4.625888220000000661e-01
4.804687500000000000e-01,4.670017716000000041e-01,4.670017716000000041e-01,4.670017716000000041e-01
4.843750000000000000e-01,4.714147212000000531e-01,4.714147211999999421e-01,4.714147211999999976e-01
4.882812500000000000e-01,4.758276708000000466e-01,4.758276708000000466e-01,4.758276707999999910e-01
4.921875000000000000e-01,4.802406204000000400e-01,4.802406204000000400e-01,4.802406204000000400e-01
4.960937500000000000e-01,4.846535700000000335e-01,4.846535700000000335e-01,4.846535700000000335e-01
5.000000000000000000e-01,4.890665196000000270e-01,4.890665196000000270e-01,4.890665196000000270e-01
5.039062500000000000e-01,4.934622012250000633e-01,4.934622012250000633e-01,4.934622012250000633e-01
5.078125000000000000e-01,4.978578828499999887e-01,4.978578828499999887e-01,4.978578828499999887e-01
5.117187500000000000e-01,5.022535644749999140e-01,5.022535644750000250e-01,5.022535644750000250e-01
5.156250000000000000e-01,5.066492461000000613e-01,5.066492461000000613e-01,5.066492461000000613e-01
